name,created_by
Unknown,system_default
Bar/Lounge,csv_import
Breakfast/Brunch,csv_import
Business and Industry,csv_import
Casual,csv_import
Caterer,csv_import
Chain/Group Member,csv_import
College & Universites,csv_import
Country Clubs/Golf/Health Fitness,csv_import
Education,csv_import
Education K thru 12,csv_import
Entertainment/Casinos/Theatres,csv_import
Ethnic,csv_import
Fast food,csv_import
Fine Dining,csv_import
Food Truck,csv_import
Gastropub,csv_import
Group Purchasing Organization,csv_import
Healthcare,csv_import
Hospitality,csv_import
Industrial,csv_import
Italian,csv_import
Management company,csv_import
Meal Prep Service,csv_import
Military/Government,csv_import
Pizza,csv_import
Retail,csv_import
Travel,csv_import
Vegan/ Vegetarian,csv_import
Vending,csv_import
